datetime,portfolio_value,cash,positions,return
2023-08-09 17:30:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-09 18:30:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-09 19:30:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-09 20:00:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-10 12:30:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-10 13:30:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-10 13:30:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-10 14:30:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-10 15:30:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-10 16:30:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-10 17:30:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-10 18:30:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-10 19:30:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-10 20:00:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-11 12:30:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-11 13:30:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-11 13:30:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-11 14:30:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-11 15:30:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-11 16:30:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-11 17:30:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-11 18:30:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-11 19:30:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-11 20:00:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-14 12:30:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-14 13:30:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-14 13:30:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-14 14:30:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-14 15:30:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-14 16:30:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-14 17:30:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-14 18:30:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-14 19:30:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-14 20:00:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-15 12:30:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-15 13:30:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-15 13:30:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-15 14:30:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-15 15:30:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-15 16:30:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-15 17:30:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-15 18:30:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-15 19:30:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-15 20:00:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-16 12:30:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-16 13:30:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-16 13:30:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-16 14:30:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-16 15:30:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-16 16:30:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-16 17:30:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-16 18:30:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-16 19:30:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-16 20:00:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-17 12:30:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-17 13:30:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-17 13:30:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-17 14:30:00+00:00,98690.02102573455,98690.02102573455,[],0.0
